input,aproveitamento
input_0,0.9001908299273969
input_1,0.9119842656703541
input_2,0.9501283166753186
input_3,0.9627040820056884
input_4,0.8907151369807927
input_5,0.9327635244313488
input_6,0.9770492282720752
input_7,0.9251961307587134
input_8,0.8291231328278655
input_9,0.95020143159003
input_10,0.7475268880098851
input_11,0.8693363359191641
input_12,0.9203266774389308
input_13,0.9652631040205891
input_14,0.9752067324213466
input_15,0.9702056722550834
input_16,0.8383356120815085
input_17,0.8364346242990107
input_18,0.8928793384562517
input_19,0.9829715363637028
input_20,0.8376775778491055
input_21,0.8326326487340152
input_22,0.9080872407162337
input_23,0.6988323548120581
input_24,0.8291231328278655
input_25,0.8905396611854852
input_26,0.921145564483699
input_27,0.8274414897895022
input_28,0.9261612476329046
input_29,0.8928208465244826
input_30,0.8199106535742227
input_31,0.95020143159003
input_32,0.8954529834540949
input_33,0.9223007801361399
input_34,0.9697669827668146
input_35,0.9525703548266811
input_36,0.9196028397832874
input_37,0.8828625951407828
input_38,0.9462970951444385
input_39,0.9557947225654562
input_40,0.8883462137441417
input_41,0.8635163887081325
input_42,0.8985238098719758
input_43,0.8376775778491055
input_44,0.9191422158206053
input_45,0.982730257145155
input_46,0.9424220046647316
input_47,0.9668716321442411
input_48,0.886701128163134
input_49,0.8938298323475006
input_50,0.9319080799292248
input_51,0.9212479253642951
input_52,0.8862405042004519
input_53,0.8273098829430215
input_54,0.7953440422311747
input_55,0.9433578755730382
input_56,0.9158959136074167
input_57,0.8591294938254455
input_58,0.8975586929977846
input_59,0.8918557296502914
input_60,0.8549180747380658
input_61,0.8717491281046421
input_62,0.9568695118117144
input_63,0.9001908299273969
input_64,0.8843980083497233
input_65,0.8587346732860036
input_66,0.8686051867720497
input_67,0.8686051867720497
input_68,0.7984148686490558
input_69,0.8531048248532218
input_70,0.9223007801361399
input_71,0.8214460667831631
input_72,0.9752067324213466
input_73,0.8377945617126438
input_74,0.8907151369807927
input_75,0.9312500456968217
input_76,0.9351105131935864
input_77,0.8854727975959816
input_78,0.8166716628525053
input_79,0.8357473441007232
input_80,0.9047970695542183
input_81,0.872553392166468
input_82,0.9048190040286318
input_83,0.9627040820056884
input_84,0.9265121992235196
input_85,0.9468673914791879
input_86,0.7627932822016363
input_87,0.7847716255638988
input_88,0.7699000519115895
input_89,0.830351463395018
input_90,0.8657098361494762
input_91,0.7158096380080573
input_92,0.8432196883842334
input_93,0.864744719275285
input_94,0.7817446680948447
input_95,0.9363388437607387
input_96,0.9251961307587134
input_97,0.8525199055355301
input_98,0.943401744521865
input_99,0.9080872407162337
